id;click;email;gender;age;click_rate;geo;device
9150;0;2;2;56;0.088276534666937;4;2
9157;0;2;2;60;0.104538001579267;2;1
9236;0;1;2;47;0.116836590000358;1;1
9323;0;3;1;41;0.0968888795124918;1;2
9423;0;4;2;62;0.393665627568773;1;2
9425;0;1;2;28;0.17024760257195;2;2
9437;0;1;2;64;0.147127557778228;4;1
9490;0;1;1;41;0.00141878069217192;4;4
9510;0;1;2;41;0.280879883031163;5;2
9586;0;7;1;44;0.150852306076411;1;2
9663;0;3;2;29;-1;-1;-1
9701;1;1;2;62;0.746955293335621;1;1
9750;0;4;2;41;0.104146473483465;2;3
9790;0;1;1;45;0.000840067515101796;1;1
10002;0;3;2;54;0.0601885463638207;5;1
10032;0;4;2;55;0.0845200863832375;2;1
10087;0;5;1;42;0.134090938734588;3;1
10137;1;5;1;53;0.157636669048102;1;2
10186;0;3;1;66;0.0630546676192407;2;1
10204;0;1;1;47;0.0378328005715444;1;1
10236;0;3;1;60;0.0544170419179748;5;1
10251;1;1;1;45;0.0540468579593492;1;3
10261;1;2;1;49;0.00157426350775241;2;3
10337;0;3;1;59;0.0575716530436546;4;1
10522;1;4;2;64;0.460573224349236;1;4
10612;0;2;1;41;0.00899227199263894;2;3
10661;0;2;1;33;0.331037005001014;4;1
10729;0;1;1;39;0.090282819545731;4;2
10772;0;2;1;40;0.0913205531037279;1;1
10783;0;2;1;43;-1;-1;-1
10859;0;1;1;39;0.176553069333874;1;1
10890;0;2;2;62;0.000837313195380151;2;1
10906;0;6;1;51;0.0490425192594094;1;3
10962;1;2;1;54;0.0854289045163906;4;1
10969;1;2;1;59;0.069692001052845;1;2
11053;1;1;1;38;0.132414802000405;1;4
11062;0;1;2;65;0.236455003572153;1;1
11085;1;2;1;56;0.200628487879402;3;2
11124;0;2;1;44;0.160502790303522;2;3
11156;1;2;1;46;-1;-1;-1
11202;0;2;2;57;0.0827592512502534;2;3
11284;0;3;1;42;0.0331037005001014;2;1
11291;0;6;2;61;0.0490425192594094;4;3
11345;0;1;1;60;0.183909447222785;4;2
11354;1;1;2;49;-1;-1;-1
