id;email;gender;age;click_rate;geo;device
123;4;2;39;0.00225335756992011;2;1
124;1;1;59;0.446899956751369;2;3
125;7;1;41;0.909354664340134;1;2
126;7;2;52;0.0575716530436546;2;1
127;1;2;42;0.151331202286178;2;2
128;7;1;62;0.101857540000312;2;3
129;1;1;49;0.127628724819668;1;1
130;1;2;48;0.0427144522581953;2;1
131;1;1;39;0.00107907263911667;2;3
132;7;1;41;0.0778910600002385;1;2
133;1;1;45;0.0575716530436546;2;3
134;1;2;59;0.820598772960259;3;1
135;3;2;68;0.000963700092796022;2;1
136;5;1;55;0.27451849195206;2;3
137;6;2;48;-1;-1;-1
138;1;1;73;0.00464328226528993;3;3
139;7;1;38;0.00106408551912894;3;1
140;5;2;48;0.00234832666290525;4;2
141;5;2;66;0.535964674763546;2;2
142;3;1;58;0.088276534666937;1;2
143;1;2;64;0.0343934550650404;1;1
144;2;2;67;0.20739667783196;1;3
145;4;2;64;0.135424229318596;1;3
146;1;2;42;0.0840728901589876;1;2
147;1;1;56;-1;-1;-1
148;5;1;35;0.893401073737675;2;2
149;1;1;39;0.00134410802416287;1;1
150;1;1;80;0.204927669762532;1;2
151;3;1;49;-1;-1;-1
152;1;1;76;0.0601885463638207;2;2
153;1;1;54;0.111675134217209;2;2
154;5;1;68;0.117329571392764;3;2
155;4;1;59;0.20251675600062;1;1
156;1;2;65;0.0033166301894928;1;2
157;6;2;60;0.0601885463638207;1;2
158;1;1;48;0.167849749014598;1;2
159;4;1;51;0.000840067515101796;4;2
160;6;2;41;0.0509287700001559;2;1
161;1;1;48;0.175489496627043;4;1
162;1;1;31;0.151331202286178;4;4
163;3;1;43;0.111675134217209;2;2
164;2;1;56;0.751543470813112;1;1
165;3;1;59;0.152786310000468;4;1
166;2;1;66;-1;-1;-1
167;3;2;37;0.397244406001216;1;4
168;1;1;53;0.00437295418820113;4;1
169;6;1;55;-1;-1;-1
170;2;1;49;0.000982232786888254;2;2
171;1;1;48;0.00075111918997337;3;1
172;1;1;45;0.203715080000624;2;2
173;1;2;50;0.459773618056963;2;1
174;5;2;41;0.141873002143292;1;1
175;1;1;69;-1;-1;-1
176;2;2;49;0.158897762400487;2;3
177;1;2;47;-1;-1;-1
178;1;1;58;0.0040487156337589;4;2
179;2;2;53;0.0838068367091174;2;1
180;8;2;64;0.000638451311477365;2;3
181;1;1;44;0.0427144522581953;1;1
182;6;1;27;0.0662074010002027;4;2
183;2;1;54;0.0472910007144305;1;3
184;1;1;46;0.24827775375076;2;2
185;4;1;51;0.000823808143841761;1;1
186;2;2;65;0.00755350847381671;1;2
187;5;1;44;0.0797679530122924;2;2
188;1;1;49;0.0919547236113927;3;1
189;1;1;64;0.00038694018877416;1;2
190;1;1;55;0.0838068367091174;4;2
191;4;1;38;0.00106408551912894;4;2
192;3;2;59;0.0496555507501521;6;1
193;3;1;50;0.000912073302110521;4;3
194;1;2;47;0.0735637788891142;2;1
195;5;2;64;0.213572261290977;2;2
196;3;1;63;0.045660276551864;1;3
197;2;1;49;0.00230551862477937;4;2
198;4;1;81;-1;-1;-1
199;4;1;48;0.217397436120069;1;4
200;1;2;56;0.094582001428861;1;1
201;2;1;51;0.000690217634029584;4;1
202;1;1;51;0.0968888795124918;1;4
203;3;1;55;0.0913205531037279;2;1
204;1;1;61;0.132414802000405;1;2
205;2;2;57;0.176553069333874;1;2
206;6;1;58;0.0802513951517609;2;2
207;3;1;27;0.0848812833335932;2;1
208;1;1;65;0.00218897592506525;2;2
209;1;2;47;0.41815200631707;1;2
210;1;2;53;0.0848812833335932;1;1
211;2;1;52;0.27764393967827;2;2
212;3;1;40;0.088276534666937;5;1
213;1;1;35;0.0509287700001559;1;1
